NA27	HSB
χριστοῦ	मसीह
χριστοῦ	के
Δαυίδ	दाऊद
Δαυίδ	का
Δαυὶδ	दाऊद
Δαυὶδ	दाऊद
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Μωϋσέως	मूसा
Μωϋσέως	के
Φαρισαῖοι	फरीसी
Χριστός	मसीह
Φαρισαῖοι	फरीसियो
Φαρισαῖοι	फरीसियो
Φαρισαῖοι	फरीसियो
Φαρισαῖοι	फरीसियो
Φαρισαῖε	फरीसी
Φαρισαῖε	हे
Φαρισαῖοι	फरीसियो
Φαρισαῖοι	फरीसियो
Ἅβελ	हाबिल
Ἅβελ	के
Ζαχαρίου	जकरयाह
Ζαχαρίου	के
Βαραχίου	बिरिक्याह
Βαραχίου	के
Ἰερουσαλὴμ	यरूशलेम
Ἰερουσαλὴμ	हे
Ἰερουσαλήμ	यरूशलेम
Ἰερουσαλήμ	हे
Ἰησοῦς	यीशु
Ἰησοῦς	यीशु
Ἰησοῦς	ने
χριστός	मसीह
Δανιὴλ	दानिय्येल
Ἰουδαίᾳ	यहूदिया
χριστός	मसीह
Νῶε	नूह
Νῶε	के
Νῶε	नूह
Νῶε	ने
Ἰησοῦς	यीशु
Καϊάφα	काइफा
Ἰησοῦν	यीशु
Ἰησοῦν	को
Ἰησοῦ	यीशु
Βηθανίᾳ	बैतनिय्याह
Σίμωνος	शमौन
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰούδας	यहूदा
Ἰσκαριώτης	इस्करियोती
Ἰησοῦ	यीशु
Ἰησοῦ	के
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰούδας	यहूदा
Ἰούδας	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Γαλιλαίαν	गलील
Πέτρος	पतरस
Πέτρος	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Πέτρος	पतरस
Πέτρος	ने
Ἰησοῦς	यीशु
Γεθσημανὶ	गतसमनी
Πέτρον	पतरस
Ζεβεδαίου	ज़ब्दी
Ζεβεδαίου	के
Πέτρῳ	पतरस
Πέτρῳ	से
Ἰούδας	यहूदा
Ἰησοῦ	यीशु
Ἰησοῦ	के
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦν	यीशु
Ἰησοῦ	यीशु
Ἰησοῦ	के
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦν	यीशु
Καϊάφαν	काइफा
Πέτρος	पतरस
Ἰησοῦ	यीशु
Ἰησοῦς	यीशु
χριστὸς	मसीह
Ἰησοῦς	यीशु
Ἰησοῦς	ने
χριστέ	मसीह
χριστέ	हे
Πέτρος	पतरस
Ἰησοῦ	यीशु
Ἰησοῦ	के
Ἰησοῦ	यीशु
Ναζωραίου	नासरी
Ναζωραίου	के
Πέτρῳ	पतरस
Πέτρῳ	से
Πέτρος	पतरस
Ἰησοῦ	यीशु
Ἰησοῦ	की
Ἰησοῦ	यीशु
Πιλάτῳ	पिलातुस
Πιλάτῳ	के
Ἰούδας	यहूदा
Ἰούδας	ने
Ἰερεμίου	यिर्मयाह
Ἰσραήλ	इस्राएल
Ἰσραήλ	की
Ἰησοῦς	यीशु
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Πιλᾶτος	पिलातुस
Πιλᾶτος	ने
Βαραββᾶν	बरअब्बा
Πιλᾶτος	पिलातुस
Πιλᾶτος	ने
Βαραββᾶν	बरअब्बा
Βαραββᾶν	को
Ἰησοῦν	यीशु
Ἰησοῦν	को
χριστόν	मसीह
Βαραββᾶν	बरअब्बा
Βαραββᾶν	को
Ἰησοῦν	यीशु
Βαραββᾶν	बरअब्बा
Βαραββᾶν	को
Πιλᾶτος	पिलातुस
Πιλᾶτος	ने
Ἰησοῦν	यीशु
χριστόν	मसीह
Πιλᾶτος	पिलातुस
Πιλᾶτος	ने
Βαραββᾶν	बरअब्बा
Βαραββᾶν	को
Ἰησοῦν	यीशु
Ἰησοῦν	को
Ἰησοῦν	यीशु
Ἰησοῦν	को
Κυρηναῖον	कुरेनी
Σίμωνα	शमौन
Γολγοθᾶ	गुलगुता
Ἰησοῦς	यीशु
Ἰσραήλ	इस्राएल
Ἰσραήλ	का
Ἰησοῦς	यीशु
Ἰησοῦς	ने
ηλι	एली
ηλι	एली
Ἠλίαν	एलिय्याह
Ἠλίαν	को
Ἠλίας	एलिय्याह
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦν	यीशु
Ἰησοῦ	यीशु
Γαλιλαίας	गलील
Μαρία	मरियम
Μαγδαληνὴ	मगदलीनी
Μαρία	मरियम
Ἰακώβου	याकूब
Ἰωσὴφ	यूसुफ
Ἰωσὴφ	की
Ζεβεδαίου	ज़ब्दी
