NA27	CUVMP
Φαρισαῖοι	人
Ἅβελ	亚伯
Ἅβελ	的
Ζαχαρίου	撒迦利亚
Ζαχαρίου	的
Βαραχίου	巴拉加
Βαραχίου	的
Ἰερουσαλὴμ	耶路撒冷
Ἰερουσαλὴμ	啊
Ἰερουσαλήμ	耶路撒冷
Ἰερουσαλήμ	啊
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
χριστός	基督
Δανιὴλ	但以理
Ἰουδαίᾳ	犹太
χριστός	基督
Νῶε	挪亚
Νῶε	的
Νῶε	挪亚
Ἰησοῦς	耶稣
Καϊάφα	该亚法
Ἰησοῦν	耶稣
Ἰησοῦ	耶稣
Βηθανίᾳ	伯大尼
Σίμωνος	西门
Ἰησοῦς	耶稣
Ἰούδας	犹大
Ἰσκαριώτης	加略
Ἰσκαριώτης	人
Ἰησοῦ	耶稣
Ἰησοῦς	耶稣
Ἰούδας	犹大
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Γαλιλαίαν	加利利
Πέτρος	彼得
Ἰησοῦς	耶稣
Πέτρος	彼得
Ἰησοῦς	耶稣
Γεθσημανὶ	客西马尼
Πέτρον	彼得
Ζεβεδαίου	西庇太
Ζεβεδαίου	的
Πέτρῳ	彼得
Πέτρῳ	对
Ἰούδας	犹大
Ἰησοῦ	耶稣
Ἰησοῦς	耶稣
Ἰησοῦν	耶稣
Ἰησοῦ	耶稣
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἰησοῦν	耶稣
Καϊάφαν	该亚法
Πέτρος	彼得
Ἰησοῦ	耶稣
Ἰησοῦς	耶稣
χριστὸς	基督
Ἰησοῦς	耶稣
χριστέ	基督
χριστέ	啊
Πέτρος	彼得
Ἰησοῦ	耶稣
Ἰησοῦ	耶稣
Ναζωραίου	拿撒勒
Ναζωραίου	人
Πέτρῳ	彼得
Πέτρῳ	对
Πέτρος	彼得
Ἰησοῦ	耶稣
Ἰησοῦ	耶稣
Πιλάτῳ	彼拉多
Ἰούδας	犹大
Ἰερεμίου	耶利米
Ἰερεμίου	的
Ἰσραήλ	以色列
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Πιλᾶτος	彼拉多
Βαραββᾶν	巴拉巴
Πιλᾶτος	彼拉多
Βαραββᾶν	巴拉巴
Ἰησοῦν	耶稣
χριστόν	基督
Βαραββᾶν	巴拉巴
Ἰησοῦν	耶稣
Βαραββᾶν	巴拉巴
Πιλᾶτος	彼拉多
Ἰησοῦν	耶稣
χριστόν	基督
Πιλᾶτος	彼拉多
Βαραββᾶν	巴拉巴
Ἰησοῦν	耶稣
Ἰησοῦν	把
Ἰησοῦν	耶稣
Ἰησοῦν	把
Κυρηναῖον	古利奈
Κυρηναῖον	一
Κυρηναῖον	个
Κυρηναῖον	人
Σίμωνα	西门
Γολγοθᾶ	各各他
Ἰησοῦς	耶稣
Ἰσραήλ	以色列
Ἰσραήλ	的
Ἰησοῦς	耶稣
ηλι	以利
ηλι	以利
Ἠλίαν	以利亚
Ἠλίας	以利亚
Ἰησοῦς	耶稣
Ἰησοῦν	耶稣
Ἰησοῦ	耶稣
Γαλιλαίας	加利利
Μαρία	马利亚
Μαγδαληνὴ	抹大拉
Μαγδαληνὴ	的
Μαρία	马利亚
Ἰακώβου	雅各
Ἰωσὴφ	约西
Ἰωσὴφ	的
Ζεβεδαίου	西庇太
Ἁριμαθαίας	亚利马太
Ἰωσήφ	约瑟
Ἰησοῦ	耶稣
Πιλάτῳ	彼拉多
Ἰησοῦ	耶稣
Ἰησοῦ	的
Πιλᾶτος	彼拉多
Ἰωσὴφ	约瑟
Μαριὰμ	马利亚
Μαριὰμ	有
Μαγδαληνὴ	抹大拉
Μαρία	马利亚
Φαρισαῖοι	法利赛
Φαρισαῖοι	人
Πιλᾶτον	彼拉多
Πιλᾶτος	彼拉多
Μαριὰμ	马利亚
Μαγδαληνὴ	抹大拉
Μαρία	马利亚
Ἰησοῦν	耶稣
Γαλιλαίαν	加利利
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Γαλιλαίαν	加利利
Γαλιλαίαν	加利利
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἰησοῦ	耶稣
Χριστοῦ	基督
Ἠσαΐᾳ	以赛亚
Ἰωάννης	约翰
Ἱεροσολυμῖται	耶路撒冷
Ἱεροσολυμῖται	的
Ἱεροσολυμῖται	人
Ἰορδάνῃ	约旦
Ἰωάννης	约翰
Ἰησοῦς	耶稣
Ναζαρὲτ	拿撒勒
Γαλιλαίας	加利利
Γαλιλαίας	的
Ἰορδάνην	约旦
Ἰορδάνην	河
Ἰωάννου	约翰
σατανᾶ	撒旦
σατανᾶ	的
Ἰωάννην	约翰
Ἰησοῦς	耶稣
Γαλιλαίαν	加利利
Γαλιλαίας	加利利
Γαλιλαίας	的
Σίμωνα	西门
Ἀνδρέαν	安得烈
Σίμωνος	西门
Σίμωνος	的
Ἰησοῦς	耶稣
Ἰάκωβον	雅各
Ζεβεδαίου	西庇太
Ζεβεδαίου	的
Ἰωάννην	约翰
Ζεβεδαῖον	西庇太
Καφαρναούμ	迦百农
Ἰησοῦ	耶稣
Ἰησοῦς	耶稣
Γαλιλαίας	加利利
Γαλιλαίας	的
Σίμωνος	西门
Ἀνδρέου	安得烈
Ἀνδρέου	的
Ἰακώβου	雅各
Ἰωάννου	约翰
Σίμωνος	西门
Σίμωνος	的
Σίμων	西门
