NA27	LEB
Ἰησοῦς	Jesus
Ἀβραὰμ	Abraham
Ἀβραὰμ	of
Ἰσαὰκ	Isaac
Ἰσαὰκ	of
Ἰακώβ	Jacob
Ἰακώβ	of
Φαρισαῖοι	Pharisees
Σαδδουκαίους	Sadducees
Φαρισαίων	Pharisees
Ἰησοῦς	Jesus
χριστοῦ	Christ
Δαυίδ	David’s
Δαυὶδ	David
Δαυὶδ	David
Ἰησοῦς	Jesus
Μωϋσέως	Moses
Μωϋσέως	of
Φαρισαῖοι	Pharisees
Χριστός	Christ
Φαρισαῖοι	Pharisees
Φαρισαῖοι	Pharisees
Φαρισαῖοι	Pharisees
Φαρισαῖοι	Pharisees
Φαρισαῖε	Pharisee
Φαρισαῖοι	Pharisees
Φαρισαῖοι	Pharisees
Ἅβελ	Abel
Ἅβελ	of
Ζαχαρίου	Zechariah
Ζαχαρίου	of
Βαραχίου	Barachiah
Βαραχίου	of
Ἰερουσαλὴμ	Jerusalem
Ἰερουσαλήμ	Jerusalem
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
χριστός	Christ
Δανιὴλ	Daniel
Ἰουδαίᾳ	Judea
χριστός	Christ
Νῶε	Noah
Νῶε	of
Νῶε	Noah
Ἰησοῦς	Jesus
Καϊάφα	Caiaphas
Ἰησοῦν	Jesus
Ἰησοῦ	Jesus
Βηθανίᾳ	Bethany
Σίμωνος	Simon
Σίμωνος	of
Ἰησοῦς	Jesus
Ἰούδας	Judas
Ἰσκαριώτης	Iscariot
Ἰησοῦ	Jesus
Ἰησοῦ	to
Ἰησοῦς	Jesus
Ἰούδας	Judas
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Γαλιλαίαν	Galilee
Πέτρος	Peter
Ἰησοῦς	Jesus
Πέτρος	Peter
Ἰησοῦς	Jesus
Γεθσημανὶ	Gethsemane
Πέτρον	Peter
Ζεβεδαίου	Zebedee
Ζεβεδαίου	of
Πέτρῳ	Peter
Πέτρῳ	to
Ἰούδας	Judas
Ἰησοῦ	Jesus
Ἰησοῦ	to
Ἰησοῦς	Jesus
Ἰησοῦν	Jesus
Ἰησοῦ	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦν	Jesus
Καϊάφαν	Caiaphas
Πέτρος	Peter
Ἰησοῦ	Jesus
Ἰησοῦς	Jesus
χριστὸς	Christ
Ἰησοῦς	Jesus
χριστέ	Christ
Πέτρος	Peter
Ἰησοῦ	Jesus
Ἰησοῦ	Jesus
Ναζωραίου	Nazarene
Πέτρῳ	Peter
Πέτρῳ	to
Πέτρος	Peter
Ἰησοῦ	Jesus
Ἰησοῦ	Jesus
Πιλάτῳ	Pilate
Πιλάτῳ	to
Ἰούδας	Judas
Ἰερεμίου	Jeremiah
Ἰσραήλ	Israel
Ἰσραήλ	of
