NA27	NET
Ἰσαὰκ	Isaac
Ἰσαὰκ	of
Ἰακώβ	Jacob
Ἰακώβ	of
Φαρισαῖοι	Pharisees
Σαδδουκαίους	Sadducees
Φαρισαίων	Pharisees
Ἰησοῦς	Jesus
χριστοῦ	Christ
Δαυίδ	David
Δαυίδ	of
Δαυὶδ	David
Δαυὶδ	David
Ἰησοῦς	Jesus
Μωϋσέως	Moses’
Φαρισαῖοι	Pharisees
Χριστός	Christ
Φαρισαῖοι	Pharisees
Φαρισαῖοι	Pharisees
Φαρισαῖοι	Pharisees
Φαρισαῖοι	Pharisees
Φαρισαῖε	Pharisee
Φαρισαῖοι	Pharisees
Φαρισαῖοι	Pharisees
Ἅβελ	Abel
Ἅβελ	of
Ζαχαρίου	Zechariah
Ζαχαρίου	of
Βαραχίου	Barachiah
Βαραχίου	of
Ἰερουσαλὴμ	Jerusalem
Ἰερουσαλὴμ	O
Ἰερουσαλήμ	Jerusalem
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
χριστός	Christ
Δανιὴλ	Daniel
Ἰουδαίᾳ	Judea
χριστός	Christ
Νῶε	Noah
Νῶε	of
Νῶε	Noah
Ἰησοῦς	Jesus
Καϊάφα	Caiaphas
Ἰησοῦν	Jesus
Ἰησοῦ	Jesus
Βηθανίᾳ	Bethany
Σίμωνος	Simon
Σίμωνος	of
Ἰησοῦς	Jesus
Ἰούδας	Judas
Ἰσκαριώτης	Iscariot
Ἰησοῦ	Jesus
Ἰησοῦ	to
Ἰησοῦς	Jesus
Ἰούδας	Judas
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Γαλιλαίαν	Galilee
Πέτρος	Peter
Ἰησοῦς	Jesus
Πέτρος	Peter
Ἰησοῦς	Jesus
Γεθσημανὶ	Gethsemane
Πέτρον	Peter
Ζεβεδαίου	Zebedee
Ζεβεδαίου	of
Πέτρῳ	Peter
Πέτρῳ	to
Ἰούδας	Judas
Ἰησοῦ	Jesus
Ἰησοῦ	to
Ἰησοῦς	Jesus
Ἰησοῦν	Jesus
Ἰησοῦ	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦν	Jesus
Καϊάφαν	Caiaphas
Πέτρος	Peter
Ἰησοῦ	Jesus
Ἰησοῦς	Jesus
χριστὸς	Christ
Ἰησοῦς	Jesus
χριστέ	Christ
χριστέ	you
Πέτρος	Peter
Ἰησοῦ	Jesus
Ἰησοῦ	Jesus
Ναζωραίου	Nazarene
Πέτρῳ	Peter
Πέτρῳ	to
Πέτρος	Peter
Ἰησοῦ	Jesus
Ἰησοῦ	Jesus
Πιλάτῳ	Pilate
Πιλάτῳ	to
Ἰούδας	Judas
Ἰερεμίου	Jeremiah
Ἰσραήλ	Israel
Ἰσραήλ	of
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Πιλᾶτος	Pilate
Βαραββᾶν	Barabbas
Πιλᾶτος	Pilate
Βαραββᾶν	Barabbas
Ἰησοῦν	Jesus
χριστόν	Christ
Βαραββᾶν	Barabbas
Βαραββᾶν	for
Ἰησοῦν	Jesus
Βαραββᾶν	Barabbas
Πιλᾶτος	Pilate
Ἰησοῦν	Jesus
Ἰησοῦν	with
χριστόν	Christ
Πιλᾶτος	Pilate
Βαραββᾶν	Barabbas
Ἰησοῦν	Jesus
Ἰησοῦν	Jesus
Κυρηναῖον	Cyrene
Σίμωνα	Simon
Γολγοθᾶ	Golgotha
Ἰησοῦς	Jesus
Ἰσραήλ	Israel
Ἰσραήλ	of
Ἰησοῦς	Jesus
Ἠλίαν	Elijah
Ἠλίας	Elijah
Ἰησοῦς	Jesus
Ἰησοῦν	Jesus
Ἰησοῦ	Jesus
Γαλιλαίας	Galilee
Μαρία	Mary
Μαγδαληνὴ	Magdalene
Μαρία	Mary
Ἰακώβου	James
Ἰακώβου	of
Ἰωσὴφ	Joseph
Ζεβεδαίου	Zebedee
Ζεβεδαίου	of
Ἁριμαθαίας	Arimathea
Ἰωσήφ	Joseph
Ἰησοῦ	Jesus
Ἰησοῦ	of
Πιλάτῳ	Pilate
Πιλάτῳ	to
Ἰησοῦ	Jesus
Ἰησοῦ	of
Πιλᾶτος	Pilate
Ἰωσὴφ	Joseph
Μαριὰμ	Mary
Μαγδαληνὴ	Magdalene
Μαρία	Mary
Φαρισαῖοι	Pharisees
Πιλᾶτον	Pilate
Πιλᾶτος	Pilate
Μαριὰμ	Mary
Μαγδαληνὴ	Magdalene
Μαρία	Mary
Ἰησοῦν	Jesus
Γαλιλαίαν	Galilee
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Γαλιλαίαν	Galilee
Γαλιλαίαν	Galilee
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦ	Jesus
Ἰησοῦ	of
Χριστοῦ	Christ
Ἠσαΐᾳ	Isaiah
Ἰωάννης	John
Ἱεροσολυμῖται	Jerusalem
Ἰορδάνῃ	Jordan
Ἰωάννης	John
Ἰησοῦς	Jesus
Ναζαρὲτ	Nazareth
Γαλιλαίας	Galilee
Γαλιλαίας	in
Ἰορδάνην	Jordan
Ἰωάννου	John
σατανᾶ	Satan
Ἰωάννην	John
Ἰησοῦς	Jesus
Γαλιλαίαν	Galilee
Γαλιλαίας	Galilee
Γαλιλαίας	of
Σίμωνα	Simon
Ἀνδρέαν	Andrew
Σίμωνος	Simon’s
Ἰησοῦς	Jesus
Ἰάκωβον	James
Ζεβεδαίου	Zebedee
Ζεβεδαίου	of
Ἰωάννην	John
Ζεβεδαῖον	Zebedee
Καφαρναούμ	Capernaum
Ἰησοῦ	Jesus
Ἰησοῦς	Jesus
Σίμωνος	Simon
Ἀνδρέου	Andrew’s
Ἰακώβου	James
Ἰωάννου	John
Σίμωνος	Simon’s
Σίμων	Simon
Γαλιλαίαν	Galilee
Μωϋσῆς	Moses
Καφαρναοὺμ	Capernaum
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Λευὶν	Levi
Ἁλφαίου	Alphaeus
Ἁλφαίου	of
Ἰησοῦς	Jesus
Ἰωάννου	John’s
Φαρισαῖοι	Pharisees
Φαρισαίων	Pharisees
Φαρισαίων	of
Ἰησοῦς	Jesus
Φαρισαῖοι	Pharisees
Δαυὶδ	David
Φαρισαῖοι	Pharisees
Ἡρῳδιανῶν	Herodians
Ἰησοῦς	Jesus
Γαλιλαίας	Galilee
Ἰουδαίας	Judea
Ἱεροσολύμων	Jerusalem
Ἰδουμαίας	Idumea
Ἰορδάνου	Jordan
Τύρον	Tyre
Σιδῶνα	Sidon
Σίμωνι	Simon
Πέτρον	Peter
Ἰάκωβον	James
Ζεβεδαίου	Zebedee
Ζεβεδαίου	of
Ἰωάννην	John
Βοανηργές	Boanerges
Ἀνδρέαν	Andrew
Φίλιππον	Philip
Βαρθολομαῖον	Bartholomew
Μαθθαῖον	Matthew
Θωμᾶν	Thomas
Ἰάκωβον	James
Ἁλφαίου	Alphaeus
Ἁλφαίου	of
Θαδδαῖον	Thaddaeus
Σίμωνα	Simon
Καναναῖον	Zealot
Ἰούδαν	Judas
Ἰσκαριώθ	Iscariot
Ἱεροσολύμων	Jerusalem
Βεελζεβοὺλ	Beelzebul
Βεελζεβοὺλ	by
σατανᾶς	Satan
σατανᾶν	Satan
σατανᾶς	Satan
σατανᾶς	Satan
Ἰησοῦν	Jesus
Ἰησοῦ	Jesus
Ἰησοῦν	Jesus
Δεκαπόλει	Decapolis
Ἰησοῦς	Jesus
Ἰησοῦ	Jesus
Ἰάϊρος	Jairus
Ἰησοῦ	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Πέτρον	Peter
Ἰάκωβον	James
Ἰωάννην	John
Ἰακώβου	James
Ἰακώβου	of
Μαρίας	Mary
Μαρίας	of
Ἰακώβου	James
Ἰακώβου	of
Ἰωσῆτος	Joses
Ἰούδα	Judas
Σίμωνος	Simon
Ἰησοῦς	Jesus
Ἡρῴδης	Herod
Ἰωάννης	John
Ἠλίας	Elijah
Ἡρῴδης	Herod
Ἰωάννην	John
Ἡρῴδης	Herod
Ἰωάννην	John
Ἡρῳδιάδα	Herodias
Φιλίππου	Philip’s
Ἰωάννης	John
Ἡρῴδῃ	Herod
Ἡρῳδιὰς	Herodias
Ἡρῴδης	Herod
Ἰωάννην	John
Ἰωάννην	of
Ἡρῴδης	Herod
Γαλιλαίας	Galilee
Γαλιλαίας	of
Ἡρῴδῃ	Herod
Ἰωάννου	John
Ἰωάννου	of
Ἰωάννου	John
Ἰωάννου	of
Ἰησοῦν	Jesus
Βηθσαϊδάν	Bethsaida
Γεννησαρὲτ	Gennesaret
Φαρισαῖοι	Pharisees
Ἱεροσολύμων	Jerusalem
Φαρισαῖοι	Pharisees
Φαρισαῖοι	Pharisees
Ἠσαΐας	Isaiah
Μωϋσῆς	Moses
κορβᾶν	corban
Τύρου	Tyre
Τύρου	of
Ἑλληνίς	Greek
Τύρου	Tyre
Τύρου	of
Σιδῶνος	Sidon
Γαλιλαίας	Galilee
Γαλιλαίας	of
Δεκαπόλεως	Decapolis
Δεκαπόλεως	of
Δαλμανουθά	Dalmanutha
Δαλμανουθά	of
Φαρισαῖοι	Pharisees
Φαρισαίων	Pharisees
Φαρισαίων	of
Ἡρῴδου	Herod
Ἡρῴδου	of
Βηθσαϊδάν	Bethsaida
Ἰησοῦς	Jesus
Καισαρείας	Caesarea
Καισαρείας	of
Φιλίππου	Philippi
Ἰωάννην	John
Ἠλίαν	Elijah
Πέτρος	Peter
χριστός	Christ
Πέτρος	Peter
Πέτρῳ	Peter
σατανᾶ	Satan
Ἰησοῦς	Jesus
Πέτρον	Peter
Ἰάκωβον	James
Ἰωάννην	John
Ἠλίας	Elijah
Μωϋσεῖ	Moses
Ἰησοῦ	Jesus
Πέτρος	Peter
Ἰησοῦ	Jesus
Ἰησοῦ	to
Μωϋσεῖ	Moses
Μωϋσεῖ	for
Ἠλίᾳ	Elijah
Ἠλίᾳ	for
Ἰησοῦν	Jesus
Ἠλίαν	Elijah
Ἠλίας	Elijah
Ἠλίας	Elijah
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Γαλιλαίας	Galilee
Καφαρναούμ	Capernaum
Ἰωάννης	John
Ἰησοῦς	Jesus
Ἰουδαίας	Judea
Ἰουδαίας	of
Ἰορδάνου	Jordan
Φαρισαῖοι	Pharisees
Μωϋσῆς	Moses
Μωϋσῆς	Moses
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Πέτρος	Peter
Ἰησοῦς	Jesus
Ἱεροσόλυμα	Jerusalem
Ἰησοῦς	Jesus
Ἱεροσόλυμα	Jerusalem
Ἰάκωβος	James
Ἰωάννης	John
Ζεβεδαίου	Zebedee
Ζεβεδαίου	of
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰακώβου	James
Ἰωάννου	John
Ἰησοῦς	Jesus
Ἰεριχώ	Jericho
Τιμαίου	Timaeus
Τιμαίου	of
Βαρτιμαῖος	Bartimaeus
Ἰησοῦς	Jesus
Δαυὶδ	David
Δαυὶδ	of
Δαυίδ	David
Δαυίδ	of
Ἰησοῦς	Jesus
Ἰησοῦν	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἱεροσόλυμα	Jerusalem
Βηθφαγὴ	Bethphage
Βηθανίαν	Bethany
Ἰησοῦς	Jesus
Ἰησοῦν	Jesus
Δαυίδ	David
Ἱεροσόλυμα	Jerusalem
Βηθανίαν	Bethany
Βηθανίας	Bethany
Ἱεροσόλυμα	Jerusalem
Πέτρος	Peter
Ἰησοῦς	Jesus
Ἱεροσόλυμα	Jerusalem
Ἰησοῦς	Jesus
Ἰωάννου	John’s
Ἰωάννην	John
Ἰησοῦ	Jesus
Ἰησοῦς	Jesus
Φαρισαίων	Pharisees
Φαρισαίων	of
Ἡρῳδιανῶν	Herodians
Καίσαρι	Caesar
Καίσαρι	to
Καίσαρος	Caesar’s
Ἰησοῦς	Jesus
Καίσαρος	Caesar’s
Καίσαρι	Caesar
Καίσαρι	to
Σαδδουκαῖοι	Sadducees
Μωϋσῆς	Moses
Ἰησοῦς	Jesus
Μωϋσέως	Moses
Μωϋσέως	of
Ἀβραὰμ	Abraham
Ἀβραὰμ	of
Ἰσαὰκ	Isaac
Ἰσαὰκ	of
Ἰακώβ	Jacob
Ἰακώβ	of
Ἰησοῦς	Jesus
Ἰσραήλ	Israel
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
χριστὸς	Christ
Δαυὶδ	David
Δαυὶδ	David
Ἰησοῦς	Jesus
Πέτρος	Peter
Ἰάκωβος	James
Ἰωάννης	John
Ἀνδρέας	Andrew
Ἰησοῦς	Jesus
Ἰουδαίᾳ	Judea
χριστός	Christ
Βηθανίᾳ	Bethany
Σίμωνος	Simon
Σίμωνος	of
Ἰησοῦς	Jesus
Ἰούδας	Judas
Ἰσκαριὼθ	Iscariot
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Γαλιλαίαν	Galilee
Πέτρος	Peter
Ἰησοῦς	Jesus
Γεθσημανὶ	Gethsemane
Πέτρον	Peter
Ἰάκωβον	James
Ἰωάννην	John
Πέτρῳ	Peter
Πέτρῳ	to
Σίμων	Simon
Ἰούδας	Judas
Ἰησοῦς	Jesus
Ἰησοῦν	Jesus
Πέτρος	Peter
Ἰησοῦ	Jesus
